game,resolution,mode,comparison_type,comparison_name,frames,ssim_mean,ssim_std,ssim_min,ssim_max,ssim_median,mse_mean,mse_std,mse_min,mse_max,mse_median,psnr_mean,psnr_std,psnr_min,psnr_max,psnr_median,lpips_mean,lpips_std,lpips_min,lpips_max,lpips_median,flip_mean,flip_std,flip_min,flip_max,flip_median,optical_flow_consistency_mean,optical_flow_consistency_std,optical_flow_consistency_min,optical_flow_consistency_max,optical_flow_consistency_median
tomb_raider_highest_scene_1,1440p,Consistency,consistency,1440p_DLAA_Consistency,241,0.8587481621884706,0.022639430529842776,0.8057067394256592,0.9004003405570984,0.8631684184074402,113.87832578287085,44.09905526431246,44.84407043457031,253.3589630126953,101.5560531616211,27.86105580941238,1.5741589128641895,24.093440880489943,31.613753348432464,28.063745466047486,0.13183918063571345,0.026023615353143303,0.08169512450695038,0.20827724039554596,0.12836308777332306,2.9879897016707297,0.5365904346542291,1.9704155921936035,4.505527496337891,2.873197555541992,3.8070369867094547,3.6180462306945453,0.028228758119368536,19.64854431225382,2.800056457158149
tomb_raider_highest_scene_1,1080p,Quality,dlss_mode,1080p_DLAA_vs_Quality,241,0.8596214268712087,0.02134765849821601,0.808646559715271,0.9128286838531494,0.8617044687271118,128.78118943970233,55.48689603869555,49.855224609375,373.34912109375,117.94351959228516,27.37000038985873,1.669638627494901,22.40965227580986,31.1536968367408,27.414062773048666,0.15140767546981201,0.028085256168637617,0.09661605209112167,0.23533335328102112,0.1449824869632721,3.148471896579157,0.6232462047699672,1.9171605110168457,5.046562671661377,3.128469944000244,4.773823485331105,5.973176028651386,0.008499139203223649,51.96804809933403,3.037078845522572
tomb_raider_highest_scene_1,1440p,Ultra_Performance,dlss_mode,1440p_DLAA_vs_Ultra_Performance,241,0.9146359703847482,0.02212991695732337,0.8635303378105164,0.9628731608390808,0.9113322496414185,71.47488579017987,37.34233937251235,21.17966651916504,324.0,66.85430145263672,30.057833866217834,2.007183494868225,23.025353506612984,34.8716124315247,29.87951005559426,0.1545326051252017,0.0271294483980241,0.09664878249168396,0.2057487964630127,0.15666012465953827,2.345769537435033,0.5715096402524507,1.1660715341567993,4.486738681793213,2.410566568374634,6.142364666197939,7.025660573478627,0.008132924621293114,67.29411316419402,4.687751763978611
tomb_raider_highest_scene_1,1080p,Balanced,dlss_mode,1080p_DLAA_vs_Balanced,241,0.8331942338171836,0.02580039654842812,0.7782348394393921,0.8790873885154724,0.8379058837890625,189.72004655386897,85.35502257462261,86.54232788085938,453.5488586425781,163.97393798828125,25.7371517125504,1.7902454097873084,21.56456282490735,28.758517878672976,25.98305534084341,0.21651577807313674,0.0300871931124368,0.1424596756696701,0.30355554819107056,0.2101133018732071,4.10978701599406,0.8366206158389595,2.777559518814087,6.168497085571289,3.9810986518859863,7.903043723102506,10.138259783523973,0.02584838891378638,68.39512633218388,4.813293452979792
tomb_raider_highest_scene_1,1440p,Balanced,dlss_mode,1440p_DLAA_vs_Balanced,241,0.8610388935848885,0.021085003825621187,0.8197519183158875,0.9122049808502197,0.8639956712722778,134.54024489786616,52.66032685183034,53.10609436035156,377.8547668457031,122.21127319335938,27.12789415136231,1.5410920797344165,22.35755455415806,30.879359980689717,27.259690922784316,0.17022392815326753,0.029536404194017114,0.11059458553791046,0.2541370093822479,0.164185032248497,3.3103902790061666,0.622621667309533,1.9755994081497192,5.098543643951416,3.211113929748535,5.432321873631989,7.634070339936135,0.04158782550742046,73.57714843046452,3.575408937764678
tomb_raider_highest_scene_1,1440p,Quality,dlss_mode,1440p_DLAA_vs_Quality,241,0.8949218998311467,0.023561187891147282,0.8425648808479309,0.9509557485580444,0.8918366432189941,100.00714291774386,54.01708865856169,25.651371002197266,302.1549072265625,86.3053207397461,28.70484428709925,2.245701601223625,23.328507089519395,34.03969778836183,28.77042789988387,0.14744482081213434,0.029198741017829204,0.09058929234743118,0.1989198476076126,0.1520363837480545,2.6455928487896423,0.6509515881403264,1.279056191444397,4.092642784118652,2.6887590885162354,7.669405659383514,9.809508257660523,0.02674865142643057,57.74313355005887,3.973197945339578
tomb_raider_highest_scene_1,4K,Performance,dlss_mode,4K_DLAA_vs_Performance,241,0.8384310815838857,0.02305600562704112,0.7904612421989441,0.876130998134613,0.8450561165809631,269.7892136316576,92.32803488636674,154.06375122070312,520.8295288085938,246.9927215576172,24.05123954163195,1.3888966276977632,20.963847619685197,26.25379892796328,24.203962053164943,0.31284869916706165,0.03365610461967611,0.1848079115152359,0.40901803970336914,0.3093927800655365,5.0760221501109015,0.9088287892717212,3.4464120864868164,7.572038650512695,4.930846691131592,6.045621069383959,6.653912242310463,0.009368914082870106,58.30664064454794,4.346672074328268
tomb_raider_highest_scene_1,1080p,Consistency,consistency,1080p_DLAA_Consistency,241,0.8420238893061752,0.024656261249695378,0.7898330092430115,0.9143447875976562,0.8439379334449768,140.6944903931677,63.625478004803135,46.14670181274414,349.2428894042969,119.36548614501953,27.035157039257086,1.7931597544132802,22.69952788240355,31.489396941996265,27.36201589715902,0.14292394867576505,0.028768688010971714,0.06669226288795471,0.21975035965442657,0.1403709203004837,3.365019365464998,0.6657989659842526,1.6710749864578247,5.051342487335205,3.2738595008850098,5.58098779484453,7.637374713792924,0.052566527472123425,45.137802124924974,3.3535842885961245
tomb_raider_highest_scene_1,1080p,Performance,dlss_mode,1080p_DLAA_vs_Performance,241,0.892989515268951,0.02240747620027129,0.8372557163238525,0.9469782710075378,0.8903558850288391,102.3039238403447,55.42556656839841,26.778282165527344,354.25506591796875,88.54545593261719,28.57733893224649,2.1591707631708243,22.637642914064546,33.85297647413777,28.659140823438157,0.1491329291549461,0.02299575985206674,0.08909008651971817,0.19203148782253265,0.14969228208065033,2.6932873938588187,0.6046235142769584,1.4309096336364746,4.358440399169922,2.695054292678833,6.438511869701411,8.690050867517991,0.0037727455208909078,70.21725462608092,3.5689315756535294
tomb_raider_highest_scene_1,4K,Balanced,dlss_mode,4K_DLAA_vs_Balanced,241,0.8490016413427487,0.021326316185533784,0.8054657578468323,0.8857077956199646,0.8556926250457764,224.2487300698688,76.61494951553681,127.86502838134766,510.4232482910156,208.0906982421875,24.84173284380026,1.336517723585726,21.051499138566797,27.063285815010833,24.94827693401968,0.25388778585368665,0.034483978330604244,0.1458597183227539,0.3587636351585388,0.25164616107940674,4.311108067817213,0.7673740089707002,2.8988723754882812,6.583615303039551,4.204813480377197,5.696773271969941,6.892732723038874,0.014991779575694864,56.77676393474556,3.6360626727280874
