game,resolution,mode,config_name,ssim,psnr,lpips,flip,fps_norm,ssim_norm,lpips_norm,efficiency_score
rdr2_ultra,1440p,Quality,1440p_Quality,0.4976862004300967,17.321452622874837,0.4649603719631597,16.834197004774804,0.4,0.23217010829138646,0.3660950154714906,0.33947953712886314
rdr2_ultra,1440p,Ultra_Performance,1440p_Ultra_Performance,0.5065262032740879,17.082710433195256,0.4748399813259009,16.527536797963204,1.0,0.24836333086235107,0.348282349852035,0.5789937042143158
rdr2_ultra,4K,Balanced,4K_Balanced,0.3709427799286304,13.170196176588462,0.6680111572737292,26.023636020396868,0.6,0.0,0.0,0.24
rdr2_ultra,4K,Performance,4K_Performance,0.4371144872117219,14.627471161801694,0.5945408047699684,22.45580507296021,0.8,0.12121412208189178,0.13246503723401293,0.3961037477947715
rdr2_ultra,4K,Quality,4K_Quality,0.4470574933965251,14.99741593597262,0.5786288767725042,21.121373263170135,0.4,0.1394278393189217,0.16115380845695138,0.25017449433276195
rdr2_ultra,4K,Ultra_Performance,4K_Ultra_Performance,0.5000279020400917,15.956621672758,0.5290244496468478,18.529787221569684,1.0,0.2364596652106142,0.25058923461521854,0.5461146699477498
returnal_epic,1080p,Balanced,1080p_Balanced,0.8659900792947052,25.20074202800815,0.1690004722023686,5.14726578411481,0.6,0.9068335432990013,0.8997026246030945,0.7819608503706288
returnal_epic,1080p,Performance,1080p_Performance,0.8352725442842389,23.880082084349027,0.1863266872123201,5.906928482546029,0.8,0.8505647965537461,0.8684639325565271,0.835708618733082
returnal_epic,1080p,Quality,1080p_Quality,0.8159350169465897,23.16342881961256,0.2002725591156499,6.511834087777645,0.4,0.815142083498454,0.8433199067286832,0.6575385970681411
returnal_epic,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8304114330322184,23.58029691326609,0.2056651486466962,6.2357155072773605,1.0,0.8416601550241685,0.833597215211976,0.9025772110708433
returnal_epic,1440p,Balanced,1440p_Balanced,0.822387368690794,23.26152135629299,0.2046610009433193,6.285358148711649,0.6,0.8269615783271319,0.8354076660725386,0.7387107733199011
returnal_epic,1440p,Performance,1440p_Performance,0.8435758069760844,24.126242654289445,0.1957483621504665,5.7176982299001375,0.8,0.8657748121167652,0.8514769101868651,0.8351755166910891
returnal_epic,1440p,Quality,1440p_Quality,0.8479425934651359,24.25140651002628,0.1836327771730297,5.453293416649103,0.4,0.8737739436538278,0.87332097871867,0.6841284767117494
returnal_epic,1440p,Ultra_Performance,1440p_Ultra_Performance,0.8432419740288011,23.86538575378796,0.2116423834072933,5.916937957687134,1.0,0.865163292945077,0.8228204243278108,0.9063951151818663
returnal_epic,4K,Balanced,4K_Balanced,0.8124938120233252,22.212649334329633,0.2494059999255423,6.9521073065750985,0.6,0.8088384433053291,0.754733656023211,0.709071629798562
returnal_epic,4K,Performance,4K_Performance,0.851554998755455,23.744031813806977,0.2108038974463517,5.708147667654862,0.8,0.8803911907198092,0.8243321915951674,0.831417014694493
returnal_epic,4K,Quality,4K_Quality,0.8501619389082523,23.913184300204264,0.2044952018463865,5.6031325031679575,0.4,0.8778393670882408,0.8357065973121491,0.674063789320117
returnal_epic,4K,Ultra_Performance,4K_Ultra_Performance,0.8364644021046816,23.103819794400877,0.2318149404058642,6.319503250612435,1.0,0.8527480559146288,0.7864498554812253,0.8917593734187562
tomb_raider_highest_scene_1,1080p,Balanced,1080p_Balanced,0.8331942338171836,25.7371517125504,0.2165157780731367,4.10978701599406,0.6,0.8467577226694353,0.8140338269607443,0.7382374648890538
tomb_raider_highest_scene_1,1080p,Performance,1080p_Performance,0.892989515268951,28.57733893224649,0.1491329291549461,2.6932873938588187,0.8,0.9562914319148014,0.9355232616333914,0.8875444080644579
tomb_raider_highest_scene_1,1080p,Quality,1080p_Quality,0.8596214268712087,27.37000038985873,0.151407675469812,3.148471896579157,0.4,0.8951673698835831,0.9314219562084416,0.7079767978276075
tomb_raider_highest_scene_1,1080p,Ultra_Performance,1080p_Ultra_Performance,0.8502442270393689,26.579300662035255,0.2003170855312426,3.648498708281774,1.0,0.8779901034675877,0.8432396268185101,0.9163689190858293
tomb_raider_highest_scene_1,1440p,Balanced,1440p_Balanced,0.8610388935848885,27.12789415136231,0.1702239281532675,3.3103902790061666,0.6,0.8977639023040622,0.897496766967095,0.7785782007813471
tomb_raider_highest_scene_1,1440p,Performance,1440p_Performance,0.8643004144870394,27.191779569523725,0.1701655194657967,3.226076753307675,0.8,0.9037383951657114,0.8976020762339889,0.8604021414199101
tomb_raider_highest_scene_1,1440p,Quality,1440p_Quality,0.8949218998311467,28.70484428709925,0.1474448208121343,2.6455928487896423,0.4,0.9598311969873432,0.9385668748306217,0.7295194215453895
tomb_raider_highest_scene_1,1440p,Ultra_Performance,1440p_Ultra_Performance,0.9146359703847482,30.05783386621783,0.1545326051252017,2.345769537435033,1.0,0.9959436663935222,0.9257877934604994,0.9765194379562065
tomb_raider_highest_scene_1,4K,Balanced,4K_Balanced,0.8490016413427487,24.84173284380026,0.2538877858536866,4.311108067817213,0.6,0.8757139201785128,0.7466531185054942,0.7267101116052022
tomb_raider_highest_scene_1,4K,Performance,4K_Performance,0.8384310815838857,24.05123954163195,0.3128486991670616,5.0760221501109015,0.8,0.8563506428248974,0.6403482035126358,0.7690096539012601
