resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1440p,Quality,0.7976908202756915,18,22.05730668094381,20,0.2074379452450532,17,6.926567978727489,22
1440p,Performance,0.8432254697147169,13,23.511207892243075,17,0.1539475229944576,4,5.71301233529447,15
1440p,Ultra_Performance,0.6423691538147036,33,15.68590221463883,37,0.4217482998333665,34,15.525491190044804,34
1440p,Balanced,0.6680951632435352,31,17.03772649243961,34,0.3553050789782388,31,12.88813898655932,32
1440p,Quality,0.6789583828224492,30,17.58057791550979,31,0.3342699671091853,30,11.999916671164154,30
1440p,Performance,0.6549861254291041,32,16.488243122976,36,0.3826994328258659,33,14.10531491030166,33
1440p,Ultra_Performance,0.8799466074511991,5,24.86414349481964,6,0.2119616074227421,19,4.438481135408305,7
1440p,Balanced,0.8232396338239062,14,21.66886807564754,22,0.2583175267420667,23,6.551706927448677,20
1440p,Quality,0.8821488575562418,4,24.661133266789413,8,0.1802261776535371,8,4.233734481078287,6
1440p,Performance,0.8850754109840819,3,24.925575401826283,5,0.1883586328996959,12,4.048754113346504,5
1440p,Ultra_Performance,0.5065262032740879,38,17.082710433195256,33,0.4748399813259009,36,16.527536797963204,35
1440p,Balanced,0.4798572361846513,40,16.664134227856778,35,0.4966561439458893,37,17.775518148684803,37
1440p,Quality,0.4976862004300967,39,17.321452622874837,32,0.4649603719631597,35,16.834197004774804,36
1440p,Performance,0.5512654147810241,36,19.130653986618245,28,0.3611930285164086,32,12.18356364059864,31
1440p,Ultra_Performance,0.587935933450134,34,13.39458509582961,39,0.6144047480581993,38,24.749155518996655,39
1440p,Balanced,0.5836015841338652,35,13.409395121480353,38,0.6149351508473632,39,24.62829305179155,38
1440p,Quality,0.5374699363382018,37,12.970406958882425,40,0.6562907677799014,40,26.21366506844909,40
1440p,Performance,0.8708739778164386,6,24.39474161131464,9,0.1329665973536082,2,5.286133363956713,12
1440p,Ultra_Performance,0.7765599007800441,19,21.50932637244768,23,0.1822273915048058,9,6.8812643583206565,21
1440p,Balanced,0.6798448934055427,29,18.62201388519967,30,0.3147445016828201,29,11.229240349000868,29
1440p,Quality,0.8619126811185304,8,23.77290576002562,16,0.1133715781222289,1,4.964903186732793,8
1440p,Performance,0.6873252972659162,28,18.840030942157227,29,0.2996907581058194,28,10.864303119371042,28
4K,Performance,0.8384310815838857,6,24.05123954163195,4,0.3128486991670616,16,5.0760221501109015,4
4K,Balanced,0.8490016413427487,3,24.84173284380026,3,0.2538877858536866,12,4.311108067817213,3
4K,Quality,0.8500800837619671,2,24.869313335164325,2,0.2473285623605815,9,4.241091600592205,2
4K,Ultra_Performance,0.8582841749013213,1,25.30740503998512,1,0.2334687738868705,7,3.9873320729900694,1
4K,Performance,0.7275173425000939,15,19.318146135356113,17,0.3225747184843709,17,11.61757943354084,23
4K,Balanced,0.7196223639266591,16,18.941152521622634,20,0.341267079345777,21,12.254777179637426,24
4K,Quality,0.7861032868774844,10,21.75106391196266,14,0.2184960414668623,3,8.385639266229012,15
4K,Ultra_Performance,0.7134469765592629,18,18.3879071857741,24,0.3536816347993805,23,13.48615860939026,26
4K,Performance,0.7010440780268211,23,23.166507339734885,8,0.2369500488660961,8,5.943649637937792,8
4K,Balanced,0.6988770505567533,25,23.10836124964547,10,0.2324400466731799,6,5.9703433553668415,11
4K,Quality,0.7168697599964503,17,23.71420621297839,5,0.1973400260502061,2,5.435899708433248,7
4K,Ultra_Performance,0.6998379369294954,24,23.18312969530119,7,0.2727881849439452,13,6.080695788420067,12
4K,Performance,0.7337790943159829,14,19.490516668167267,16,0.2780526883185349,14,8.81870152281659,16
4K,Balanced,0.7928652186049991,9,22.51413505076335,11,0.1947945878873691,1,5.952413153956866,9
4K,Quality,0.7505894075259704,13,20.631967830388977,15,0.2488830156224933,11,7.982177606792415,14
4K,Ultra_Performance,0.7018602786248901,22,17.80162596435339,26,0.3561669167859748,24,11.467715756919551,22
4K,Performance,0.8320397138595581,7,22.235435217472837,12,0.2478987788521377,10,5.955552341551754,10
4K,Balanced,0.8455275363762286,4,23.387568589937352,6,0.2216887293206579,5,5.19538406353423,5
4K,Quality,0.8445968438127187,5,23.119988189723543,9,0.2197144443595875,4,5.233678864200688,6
4K,Ultra_Performance,0.8212222483571016,8,21.758264661736433,13,0.2804415530665626,15,6.5242314811525395,13
4K,Performance,0.4371144872117219,31,14.627471161801694,29,0.5945408047699684,30,22.45580507296021,29
4K,Balanced,0.3709427799286304,32,13.170196176588462,31,0.6680111572737292,32,26.023636020396868,31
4K,Quality,0.4470574933965251,30,14.99741593597262,28,0.5786288767725042,28,21.121373263170135,28
4K,Ultra_Performance,0.5000279020400917,29,15.956621672758,27,0.5290244496468478,27,18.529787221569684,27
4K,Performance,0.5431151759617012,28,12.800684854235506,32,0.658804516445724,31,27.759658094038045,32
4K,Balanced,0.7543819333504069,12,19.10935849456082,19,0.3514985425271075,22,10.2635327904891,18
4K,Quality,0.6184907194068259,27,13.728609731404353,30,0.5875968796418125,29,23.208218507599412,30
4K,Ultra_Performance,0.7618254718923927,11,19.26080873760989,18,0.3570813045167086,25,10.14599457061978,17
4K,Performance,0.7113209340639193,19,18.75180433673781,22,0.32710924952784,19,10.905471327933755,20
4K,Balanced,0.7068032178589526,21,18.58400923053032,23,0.3377736673676683,20,11.281685617094968,21
4K,Quality,0.7096354390001473,20,18.784522043008614,21,0.3234688673264292,18,10.886803975054884,19
4K,Ultra_Performance,0.698487381779534,26,18.071731098796263,25,0.3786677074283087,26,12.365044957300755,25
