frame_index,timestamp,ssim,mse,psnr,lpips,flip,fps,fps_interpolated,optical_flow,resolution,comparison
260,4.333,0.8964918255805969,49.24784851074219,31.206930986296577,0.13543833792209625,1.8507575988769531,237.6,False,3.402679447132101,1080p,1080p_DLAA_vs_Quality
270,4.5,0.906197726726532,42.06972122192383,31.891107267254398,0.13027802109718323,1.7466129064559937,238.0,False,3.3691024815892945,1080p,1080p_DLAA_vs_Quality
280,4.667,0.9180424213409424,38.476139068603516,32.27888875083396,0.13065150380134583,1.6288987398147583,233.7,False,5.262916567217665,1080p,1080p_DLAA_vs_Quality
290,4.833,0.9196066856384277,34.81531524658203,32.71310028878035,0.12477350234985352,1.5816984176635742,241.2,False,4.790447238216686,1080p,1080p_DLAA_vs_Quality
300,5.0,0.9022648930549622,57.36174774169922,30.544579855894042,0.14890380203723907,1.7675042152404785,231.6,False,3.2954750001712583,1080p,1080p_DLAA_vs_Quality
310,5.167,0.8991495370864868,44.601768493652344,31.63728281711655,0.1379307508468628,1.7758444547653198,230.7,False,10.343147281260237,1080p,1080p_DLAA_vs_Quality
320,5.333,0.9125393629074097,38.43103790283203,32.28398247301665,0.12439177185297012,1.6502399444580078,238.1,False,2.54802322345639,1080p,1080p_DLAA_vs_Quality
330,5.5,0.8999134302139282,46.132450103759766,31.490738401793045,0.12381268292665482,1.8430927991867065,244.3,False,0.9968833939591946,1080p,1080p_DLAA_vs_Quality
340,5.667,0.9210028052330017,38.14133834838867,32.316844328521455,0.11005271971225739,1.6180897951126099,236.9,False,0.9430847167431722,1080p,1080p_DLAA_vs_Quality
350,5.833,0.9240350723266602,36.36629104614258,32.523813507214136,0.1068197563290596,1.5594217777252197,241.5,False,2.196117400614753,1080p,1080p_DLAA_vs_Quality
360,6.0,0.9149789810180664,40.30125427246094,32.07761798222286,0.1063779667019844,1.6198503971099854,233.6,False,0.2474174479454021,1080p,1080p_DLAA_vs_Quality
370,6.167,0.9284371137619019,31.33599281311035,33.170369019332476,0.1109919548034668,1.487082600593567,238.6,False,2.3173294059604927,1080p,1080p_DLAA_vs_Quality
