frame_index,timestamp,ssim,mse,psnr,lpips,flip,optical_flow,fps,fps_interpolated,resolution,comparison
220,3.667,0.8677912354469299,149.10440063476562,26.395898995531294,0.26242494583129883,4.44578218460083,13.574394228668893,,,1080p,1080p_DLAA_vs_Quality
230,3.833,0.8593752384185791,162.47535705566406,26.02292860822682,0.26018625497817993,4.618725776672363,14.780746462388493,,,1080p,1080p_DLAA_vs_Quality
240,4.0,0.849888801574707,176.55288696289062,25.662055374009558,0.27900123596191406,4.897616386413574,14.600921634301713,,,1080p,1080p_DLAA_vs_Quality
250,4.167,0.8423442840576172,179.0150604248047,25.601907914285242,0.2909890115261078,4.956070423126221,9.63449097162892,,,1080p,1080p_DLAA_vs_Quality
260,4.333,0.8395910263061523,194.2317352294922,25.247601707797376,0.2802869379520416,5.1651105880737305,9.937294009688557,,,1080p,1080p_DLAA_vs_Quality
270,4.5,0.8267248272895813,224.87091064453125,24.611470822382067,0.31142833828926086,5.738190650939941,11.337615970195202,,,1080p,1080p_DLAA_vs_Quality
280,4.667,0.8330011963844299,224.3084716796875,24.622346845463703,0.31797218322753906,5.913913726806641,6.18360138088039,,,1080p,1080p_DLAA_vs_Quality
290,4.833,0.8327552676200867,249.2227783203125,24.16492627669179,0.3273913264274597,6.219897270202637,20.35939025971338,,,1080p,1080p_DLAA_vs_Quality
300,5.0,0.8454000949859619,299.3039855957031,23.36967860831273,0.3308781087398529,6.713315486907959,24.379409787594,,,1080p,1080p_DLAA_vs_Quality
310,5.167,0.8565632700920105,232.3014678955078,24.470284067848297,0.3411468267440796,6.171574592590332,34.79624938779449,,,1080p,1080p_DLAA_vs_Quality
320,5.333,0.8625370860099792,215.32427978515625,24.79987357601813,0.36712658405303955,6.190094470977783,16.515190123937714,,,1080p,1080p_DLAA_vs_Quality
330,5.5,0.8589456677436829,188.67239379882812,25.373720012324593,0.3804423213005066,6.647991180419922,9.347915649824643,,,1080p,1080p_DLAA_vs_Quality
340,5.667,0.8465040922164917,202.61561584472656,25.06407446922403,0.39432936906814575,6.505953311920166,5.805084229374785,,,1080p,1080p_DLAA_vs_Quality
350,5.833,0.8395441770553589,204.7693634033203,25.01815380732917,0.39240217208862305,6.534375190734863,11.694053650770272,,,1080p,1080p_DLAA_vs_Quality
360,6.0,0.8361523747444153,198.82806396484375,25.14602677160336,0.40904679894447327,7.019669532775879,1.8174591065548782,,,1080p,1080p_DLAA_vs_Quality
370,6.167,0.844481348991394,202.14630126953125,25.074145615396883,0.4302845895290375,7.38573694229126,3.5269622790135315,,,1080p,1080p_DLAA_vs_Quality
380,6.333,0.8358449339866638,363.3138122558594,22.52798451933146,0.48400354385375977,9.058784484863281,64.0904388450472,,,1080p,1080p_DLAA_vs_Quality
390,6.5,0.8210582137107849,469.689453125,21.412695526562185,0.45724397897720337,9.3209228515625,38.61370850024434,,,1080p,1080p_DLAA_vs_Quality
