comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
4K_DLAA_vs_Balanced,4K,lpips,397,0.13232697370276317,0.008293023060815941,0.05324478247954155,0.28991849804335124,0.0008479185932068215,0.0076288532215047725,0.9995760407033966,0.9961855733892476,132.52055775480764,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Balanced,4K,flip,397,0.13705767439924627,0.0062349466007933915,0.017734688360931502,0.7246322929341618,0.0008479185932068215,0.01999303469389822,0.9995760407033966,0.9900034826530509,132.79459432284375,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,ssim,393,-0.010965116016883443,0.8284506742075459,0.025212358986716366,0.6182707146262815,0.0002866019471218716,0.0036388698614129174,0.999856699026439,0.9981805650692935,131.08576224403154,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,lpips,393,-0.17458458676388972,0.0005075919901052648,-0.20599110977789667,3.874823101717114e-05,0.0002866019471218716,0.05754454540341323,0.999856699026439,0.9712277272982934,132.2749352114998,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1440p_DLAA_vs_Performance,1440p,flip,393,-0.0646654187934359,0.2008274195373863,-0.14691048591622072,0.0035119738583059383,0.0002866019471218716,0.055394080702535695,0.999856699026439,0.9723029596487321,132.22708236850852,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,ssim,390,-0.22132906088816784,1.0256125765485467e-05,-0.23895348692028812,1.813876847601301e-06,0.0013445423025429967,0.0016117224142677704,0.9993277288487284,0.9991941387928661,130.06408397706429,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,lpips,390,0.26144439062274405,1.6239670512571807e-07,0.26960856740511213,6.383484622962875e-08,0.0013445423025429967,0.0007500296852621842,0.9993277288487284,0.9996249851573689,130.04539824138323,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,flip,390,0.19302697698547266,0.00012511750409281564,0.24745859537252973,7.482604918041519e-07,0.0013445423025429967,0.0070022252935701785,0.9993277288487284,0.9964988873532149,130.181098562518,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,ssim,399,-0.031985070795585685,0.5240858634179725,0.03200752864693121,0.5237944069844276,0.0003213048542923265,0.001187585699206674,0.9998393475728539,0.9994062071503966,133.0334554873807,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,lpips,399,0.05163618972521497,0.30353483895614247,-0.037528092353632934,0.45474093502862634,0.0003213048542923265,0.0073321174183848805,0.9998393475728539,0.9963339412908075,133.16986753837793,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,flip,399,0.02224873492211618,0.6577088226156207,-0.1822719997584797,0.0002520534124010132,0.0003213048542923265,0.02780861615178427,0.9998393475728539,0.9860956919241078,133.62648373864798,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,ssim,393,0.2521040063651667,4.108298032602989e-07,0.14252929342398973,0.004640275390876361,0.00027086098237852146,0.0009120446921554626,0.9998645695088108,0.9995439776539222,131.02583186667096,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,lpips,393,-0.18523216583456004,0.0002221565142059515,-0.03032033460380192,0.548972587638692,0.00027086098237852146,0.02809523056387864,0.9998645695088108,0.9859523847180607,131.62226821830106,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,flip,393,-0.1279430440412025,0.011125420887133745,0.009094358470237346,0.8573739060212217,0.00027086098237852146,0.07381637297261953,0.9998645695088108,0.9630918135136902,132.63779455271703,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
