comparison,resolution,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,x_dw,y_dw,x_autocorr,y_autocorr,effective_n,x_autocorr_interpretation,y_autocorr_interpretation
1440p_DLAA_vs_Performance,1440p,flip,541,-0.048383412390494,0.26125724363635305,0.10876957927967414,0.011355022757242823,0.02545580844718685,0.02460572404047322,0.9872720957764066,0.9876971379797634,181.85062012118294,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,ssim,541,0.27835779638492064,4.393843007041725e-11,0.4926519187481501,2.007866079190833e-34,0.02019486892958037,0.0029324111087487884,0.9899025655352098,0.9985337944456256,181.03112625877347,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,lpips,541,-0.29210029971230744,4.206381823878326e-12,-0.45469714731199656,5.838290942141622e-29,0.02019486892958037,0.028713211610297017,0.9899025655352098,0.9856433941948515,181.81537348832583,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Quality,4K,flip,541,-0.28922567525412124,6.944977201891875e-12,-0.40909568146087694,3.044732332792178e-23,0.02019486892958037,0.05342707802501501,0.9899025655352098,0.9732864609874925,182.5735702844657,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,ssim,542,0.19579737542840575,4.383099874067725e-06,0.3182265519330294,3.207013920967233e-14,0.011815916075945593,0.001840127113916645,0.9940920419620272,0.9990799364430417,181.0788033264992,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,lpips,542,-0.1591122310032862,0.0001996620891691667,-0.26880755820930824,2.0034123944541463e-10,0.011815916075945593,0.008381142527194116,0.9940920419620272,0.995809428736403,181.27687661673707,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
4K_DLAA_vs_Ultra_Performance,4K,flip,542,-0.11856243676964554,0.005716397360244267,-0.1791214125601068,2.7353607090514e-05,0.011815916075945593,0.04032727083041325,0.9940920419620272,0.9798363645847934,182.2505204923019,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,ssim,538,0.08841567612762,0.04036124805399236,0.1250145203764194,0.003680195084010942,0.012964226421227796,0.002534162642915197,0.9935178867893861,0.9987329186785424,179.79776261297303,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,lpips,538,-0.08078040069148563,0.061152631091050486,-0.08511558099111176,0.048469220481257354,0.012964226421227796,0.022183921724696288,0.9935178867893861,0.9889080391376519,180.3900627750785,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
1080p_DLAA_vs_Ultra_Performance,1080p,flip,538,-0.051222043319022914,0.23558211380278596,-0.08337965633650911,0.05325527283097346,0.012964226421227796,0.06619254226680957,0.9935178867893861,0.9669037288665953,181.73087142548374,positive autocorrelation (values persist over time),positive autocorrelation (values persist over time)
